SibatSiyum,Min_m,dat_m,Gil_M,MatzavMishp_m,ShnatAliya_m,Shana,Machoz_m,Nafa_m
9,1,10,40,10,1900,2018,2,24
8,2,42,41,77,1980,2018,2,24
3,1,20,63,20,1955,2018,2,24
1,1,20,24,10,1900,2018,2,24
1,1,20,31,20,1900,2018,2,24
1,1,20,60,20,1900,2018,2,24
1,2,20,45,20,1900,2018,2,24
1,2,20,23,10,1900,2018,2,24
5,1,20,42,20,1900,2018,2,24
6,1,10,33,20,1900,2018,2,24
5,1,10,38,10,1900,2018,2,24
2,2,10,26,10,1900,2018,2,24
6,1,10,63,30,1900,2018,2,24
5,1,95,70,20,1900,2018,2,24
8,2,95,33,30,2014,2018,2,24
5,2,10,72,20,1949,2018,2,24
6,1,10,46,20,1900,2018,2,24
5,2,10,82,20,1967,2018,2,24
10,2,95,50,20,2016,2018,2,24
1,1,95,52,20,1900,2018,2,24
10,2,10,28,10,1900,2018,2,24
1,2,10,64,20,1957,2018,2,24
1,2,20,41,20,1900,2018,2,25
1,1,21,30,10,1900,2018,2,25
3,1,20,49,20,1900,2018,2,25
5,2,20,57,10,1900,2018,2,25
3,2,21,30,20,1900,2018,2,25
3,1,20,46,20,1900,2018,2,25
8,1,20,21,10,1900,2018,2,25
2,2,20,21,10,1900,2018,2,25
1,1,20,44,20,1900,2018,2,25
7,2,40,77,40,1948,2018,2,25
1,2,41,27,10,1900,2018,2,25
1,2,20,52,20,1900,2018,2,25
1,1,20,35,20,1900,2018,2,25
1,1,20,24,10,1900,2018,2,25
1,1,20,28,20,1900,2018,2,25
6,1,20,25,10,1900,2018,2,25
1,2,20,47,20,1900,2018,2,25
1,1,40,59,20,1900,2018,2,25
3,2,21,42,20,1900,2018,2,25
1,1,20,42,20,1900,2018,2,25
3,1,20,27,20,1900,2018,2,25
3,2,21,38,10,1900,2018,2,25
5,1,20,22,10,1900,2018,2,25
1,1,20,55,20,1900,2018,2,25
1,2,20,48,20,1900,2018,2,25
3,2,20,28,20,1900,2018,2,25
3,2,20,81,40,1949,2018,2,25
6,2,40,58,20,1900,2018,2,25
6,2,10,36,20,1900,2018,2,25
11,2,40,31,20,1900,2018,2,25
3,1,10,42,10,1990,2018,2,25
6,2,10,74,30,1961,2018,2,25
9,2,10,87,40,1990,2018,2,25
3,2,10,44,30,1900,2018,2,25
6,1,10,41,10,1900,2018,2,25
5,2,10,50,30,1973,2018,2,25
9,2,10,89,40,1974,2018,2,25
5,2,10,81,40,1990,2018,2,25
7,1,10,58,40,1964,2018,2,25
6,2,10,26,10,1900,2018,2,25
8,1,20,25,10,1900,2018,2,25
6,1,20,46,20,1900,2018,2,25
7,1,10,94,40,2011,2018,2,25
5,2,10,85,30,1996,2018,2,25
1,2,10,37,10,1996,2018,2,25
1,1,10,58,20,1997,2018,2,25
2,2,21,36,20,1900,2018,2,25
3,2,40,67,40,1967,2018,2,25
6,2,42,31,20,1900,2018,2,25
1,2,20,24,10,1900,2018,2,25
1,1,20,50,20,1900,2018,2,25
5,2,20,79,40,1957,2018,2,25
3,1,21,34,20,1900,2018,2,25
3,2,21,32,20,1900,2018,2,25
9,1,20,21,10,1900,2018,2,25
1,1,20,59,20,1900,2018,2,25
5,2,40,64,20,1900,2018,2,25
6,2,42,38,20,1900,2018,2,25
1,1,44,37,20,1900,2018,2,25
1,1,20,56,20,1900,2018,2,25
3,2,43,27,10,1900,2018,2,25
3,2,21,31,20,1900,2018,2,25
2,2,21,38,20,1900,2018,2,25
8,1,40,22,10,1900,2018,2,25
3,2,10,48,20,1900,2018,2,29
9,2,10,91,10,1993,2018,2,29
3,2,20,40,20,1900,2018,3,31
3,1,60,26,10,1900,2018,3,31
10,1,60,45,10,1900,2018,3,31
3,2,60,45,20,1900,2018,3,31
7,1,10,91,40,1960,2018,3,31
6,1,10,24,20,1900,2018,3,31
3,1,10,49,10,1972,2018,3,31
7,1,10,74,20,1965,2018,3,31
3,1,10,29,10,1900,2018,3,31
5,2,10,79,20,1956,2018,3,31
6,1,10,63,10,1965,2018,3,31
2,2,10,35,20,1900,2018,3,31
5,1,10,42,10,1900,2018,3,31
9,2,10,44,30,1900,2018,3,31
9,2,10,88,40,1957,2018,3,31
2,2,10,71,20,1900,2018,3,31
1,1,10,21,10,1900,2018,3,31
8,1,10,60,20,1975,2018,3,31
6,1,10,28,20,1900,2018,3,31
7,2,10,93,40,1972,2018,3,31
6,2,20,62,20,1900,2018,3,31
6,2,20,24,10,1900,2018,3,31
6,1,10,29,20,2016,2018,3,31
6,2,20,52,30,1900,2018,3,31
2,1,10,54,10,1900,2018,3,31
11,1,10,78,30,1995,2018,3,31
8,1,42,22,10,1900,2018,3,31
3,2,10,31,30,1900,2018,3,31
11,1,10,62,30,1900,2018,3,31
3,1,40,43,20,1900,2018,3,31
11,1,10,33,10,2010,2018,3,31
11,2,10,88,40,1946,2018,3,31
11,2,10,92,40,1932,2018,3,31
7,2,10,65,30,1900,2018,3,31
11,2,10,79,40,1997,2018,3,31
7,2,10,73,40,1981,2018,3,31
2,1,10,54,20,1900,2018,3,31
7,2,10,95,40,1972,2018,3,31
5,1,10,92,40,1947,2018,3,31
6,2,10,26,10,1900,2018,3,31
5,2,10,86,10,1900,2018,3,31
6,1,10,44,20,1900,2018,3,31
3,1,10,44,20,1900,2018,3,31
3,2,10,62,30,1973,2018,3,31
8,1,10,47,20,1900,2018,3,31
